Loan_ID,Disbursement_Date,Sector,Region,Loan_Amount,Tenure_Months,Interest_Rate,Outstanding_Principal,Days_Past_Due
MSME-00098,2023-10-18,Trading,South,14440000.0,48,16.8,5414218.97,15
MSME-00099,2021-09-22,Manufacturing,South,4900000.0,60,17.47,157289.9,0
MSME-00100,2023-09-21,Manufacturing,North,3450000.0,48,15.45,1200668.57,0
MSME-00101,2026-06-24,Manufacturing,South,19440000.0,24,11.74,18838354.29,0
MSME-00102,2026-03-15,Agriculture Tech,South,12390000.0,48,17.27,11612391.9,0
MSME-00103,2024-11-21,Trading,South,19630000.0,24,16.55,3583972.06,0
MSME-00104,2022-03-14,Services,South,6820000.0,24,16.26,0.0,0
MSME-00105,2024-08-14,Household Loan,South,14090000.0,12,11.26,0.0,0
MSME-00106,2026-06-22,Trading,North,4530000.0,60,16.59,4485967.5,0
MSME-00107,2021-08-02,Trading,South,5300000.0,12,11.97,0.0,0
MSME-00108,2025-05-31,Education,North,10290000.0,12,12.56,0.0,0
MSME-00109,2025-08-30,Trading,West,6460000.0,48,15.04,5326959.73,0
MSME-00110,2023-08-10,Manufacturing,West,3440000.0,48,12.85,1047286.21,0
MSME-00111,2022-06-05,Trading,West,5330000.0,24,15.63,0.0,45
MSME-00112,2023-04-26,Manufacturing,West,810000.0,48,15.26,184758.98,0
MSME-00113,2021-06-18,Household Loan,East,14120000.0,48,11.76,0.0,0
MSME-00114,2022-02-10,Personal Loan,East,9890000.0,36,15.59,0.0,120
MSME-00115,2021-02-20,Agriculture Tech,South,1980000.0,24,17.47,0.0,0
MSME-00116,2022-09-27,Personal Loan,East,3520000.0,24,12.13,0.0,120
MSME-00117,2022-05-06,Personal Loan,South,2140000.0,36,15.18,0.0,0
MSME-00118,2023-02-27,Manufacturing,South,12290000.0,24,13.39,0.0,0
MSME-00119,2021-06-05,Personal Loan,West,1970000.0,60,14.22,0.0,15
MSME-00120,2024-06-02,Services,South,15110000.0,60,13.01,9759093.2,0
MSME-00121,2025-08-18,Personal Loan,South,510000.0,36,13.48,373128.72,0
MSME-00122,2026-01-05,Personal Loan,West,5060000.0,48,11.2,4499496.89,0
MSME-00123,2022-01-08,Trading,North,17820000.0,60,17.87,2117228.5,0
MSME-00124,2023-09-01,Manufacturing,South,14400000.0,36,15.37,462613.91,0
MSME-00125,2026-03-06,Trading,West,1550000.0,60,14.5,1468466.37,0
MSME-00126,2025-06-11,Trading,East,16440000.0,12,13.69,0.0,0
MSME-00127,2021-02-20,Personal Loan,South,9910000.0,36,14.78,0.0,0
MSME-00128,2021-10-27,Personal Loan,North,16950000.0,24,13.66,0.0,0
MSME-00129,2024-04-14,Manufacturing,South,12050000.0,60,13.52,7507632.52,0
MSME-00130,2025-07-29,Services,West,13670000.0,24,14.25,7412837.7,0
MSME-00131,2023-06-04,Trading,South,19870000.0,36,12.93,0.0,0
MSME-00132,2025-02-02,Trading,South,4720000.0,60,12.26,3610403.65,0
MSME-00133,2023-09-02,Manufacturing,North,12520000.0,24,14.9,0.0,0
MSME-00134,2023-09-18,Trading,North,9260000.0,48,16.9,3258328.31,0
MSME-00135,2025-10-30,Household Loan,West,890000.0,48,12.07,758185.36,0
MSME-00136,2025-01-01,Trading,South,390000.0,12,11.23,0.0,0
MSME-00137,2025-05-13,Services,East,2470000.0,36,12.73,1592855.17,0
MSME-00138,2021-04-12,Education,North,13020000.0,24,17.86,0.0,0
MSME-00139,2024-04-01,Trading,East,11390000.0,12,16.8,0.0,15
MSME-00140,2021-05-20,Household Loan,West,11110000.0,36,15.17,0.0,0
MSME-00141,2025-04-30,Household Loan,South,730000.0,48,17.5,555747.55,0
MSME-00142,2023-05-29,Trading,North,9440000.0,24,14.12,0.0,0
MSME-00143,2024-01-24,Services,South,18500000.0,60,17.88,11199349.86,0
MSME-00144,2025-01-30,Trading,West,8010000.0,48,13.07,5507027.62,0
MSME-00145,2025-07-11,Trading,South,12540000.0,60,12.68,10547956.12,0
MSME-00146,2024-07-21,Manufacturing,West,15620000.0,60,15.47,10696679.59,0
MSME-00147,2021-04-22,Agriculture Tech,East,15700000.0,24,13.65,0.0,0
MSME-00148,2021-01-01,Services,West,10430000.0,24,15.38,0.0,0
MSME-00149,2026-04-14,Manufacturing,East,17170000.0,60,13.13,16509485.33,0
MSME-00150,2021-12-02,Trading,North,7890000.0,12,15.33,0.0,0
MSME-00151,2024-11-28,Household Loan,South,17780000.0,60,12.93,13086638.19,0
MSME-00152,2021-08-26,Trading,North,4880000.0,60,11.36,42511.06,0
MSME-00153,2024-02-16,Manufacturing,West,5680000.0,24,17.38,0.0,0
MSME-00154,2022-04-30,Services,West,1160000.0,36,17.18,0.0,0
MSME-00155,2025-01-27,Household Loan,East,15930000.0,48,17.8,11244448.92,0
MSME-00156,2023-10-15,Trading,South,8400000.0,24,16.02,0.0,0
MSME-00157,2022-07-05,Agriculture Tech,North,4660000.0,12,15.78,0.0,0
MSME-00158,2022-06-14,Education,West,4710000.0,48,14.91,0.0,0
MSME-00159,2023-06-15,Trading,South,18040000.0,24,11.88,0.0,0
MSME-00160,2022-10-29,Education,North,16690000.0,24,12.32,0.0,0
MSME-00161,2024-11-30,Trading,East,11120000.0,36,13.03,5519935.29,15
MSME-00162,2025-03-24,Agriculture Tech,North,12360000.0,12,17.23,0.0,15
MSME-00163,2023-06-12,Agriculture Tech,South,9540000.0,12,12.21,0.0,0
MSME-00164,2025-09-25,Services,South,7890000.0,24,17.46,4962678.81,0
MSME-00165,2026-05-11,Manufacturing,North,18320000.0,36,14.66,17373644.38,75
MSME-00166,2023-01-27,Personal Loan,West,2600000.0,24,16.01,0.0,0
MSME-00167,2024-10-08,Trading,North,8430000.0,60,11.77,5940566.41,0
MSME-00168,2023-09-14,Manufacturing,North,6960000.0,60,12.88,3490905.66,15
MSME-00169,2024-02-09,Manufacturing,North,10010000.0,36,17.71,2153224.19,15
MSME-00170,2024-07-08,Services,West,9210000.0,24,12.86,0.0,0
MSME-00171,2025-07-24,Agriculture Tech,South,10430000.0,36,13.08,7394584.54,0
MSME-00172,2025-08-22,Manufacturing,South,2880000.0,24,12.38,1643702.53,0
MSME-00173,2021-12-26,Services,North,10310000.0,24,11.9,0.0,0
MSME-00174,2024-08-14,Trading,North,4920000.0,60,12.63,3352600.93,15
MSME-00175,2021-12-06,Agriculture Tech,South,3770000.0,48,15.5,0.0,0
MSME-00176,2026-04-14,Manufacturing,West,1390000.0,12,14.19,1038289.52,0
MSME-00177,2024-03-12,Agriculture Tech,West,15280000.0,12,14.88,0.0,0
MSME-00178,2024-03-04,Trading,North,8610000.0,36,11.86,1947601.73,0
MSME-00179,2025-01-29,Household Loan,South,12570000.0,12,16.61,0.0,0
MSME-00180,2021-01-04,Manufacturing,West,14580000.0,60,16.49,0.0,45
MSME-00181,2024-01-11,Trading,South,13620000.0,48,11.15,5627449.67,0
MSME-00182,2022-09-26,Manufacturing,West,9460000.0,24,13.68,0.0,0
MSME-00183,2024-10-20,Household Loan,North,7820000.0,24,11.48,995222.94,0
MSME-00184,2022-03-21,Personal Loan,West,7580000.0,60,16.54,1286875.06,0
MSME-00185,2023-04-06,Trading,West,12840000.0,12,16.16,0.0,0
MSME-00186,2023-02-17,Agriculture Tech,West,9950000.0,24,17.31,0.0,0
MSME-00187,2025-05-29,Personal Loan,East,17000000.0,12,12.65,0.0,0
MSME-00188,2023-11-07,Services,South,17510000.0,60,14.19,9459397.35,0
MSME-00189,2021-12-15,Services,West,3490000.0,24,12.29,0.0,0
MSME-00190,2021-09-20,Trading,South,2810000.0,36,13.6,0.0,0
MSME-00191,2022-04-22,Manufacturing,South,12640000.0,48,14.66,0.0,0
MSME-00192,2023-05-15,Personal Loan,East,6090000.0,12,11.37,0.0,0
MSME-00193,2022-07-09,Household Loan,West,470000.0,12,16.0,0.0,0
MSME-00194,2023-05-22,Agriculture Tech,West,17780000.0,12,14.8,0.0,0
MSME-00195,2021-07-24,Trading,North,4620000.0,12,16.8,0.0,15
MSME-00196,2025-04-06,Trading,West,18590000.0,60,12.9,14829473.13,0
MSME-00197,2024-05-08,Education,East,14380000.0,60,17.32,9453943.87,75
MSME-00198,2022-08-10,Personal Loan,North,15280000.0,60,17.99,4242284.69,0
MSME-00199,2021-06-07,Personal Loan,South,4110000.0,60,17.44,0.0,0
MSME-00200,2025-03-04,Education,South,4760000.0,24,16.45,1608606.62,0
MSME-00201,2024-04-20,Agriculture Tech,South,10470000.0,60,16.69,6748419.12,0
MSME-00202,2021-04-21,Manufacturing,West,3520000.0,24,15.02,0.0,0
MSME-00203,2024-08-24,Manufacturing,East,6180000.0,36,12.33,2473822.28,0
MSME-00204,2023-08-29,Personal Loan,East,6500000.0,60,15.74,3312805.48,0
MSME-00205,2023-12-29,Agriculture Tech,West,3280000.0,36,15.99,543419.57,120
MSME-00206,2021-01-01,Manufacturing,South,4180000.0,60,17.9,0.0,0
MSME-00207,2023-06-03,Manufacturing,West,15790000.0,36,14.79,0.0,0
MSME-00208,2026-05-19,Agriculture Tech,South,3430000.0,48,12.9,3317595.21,0
MSME-00209,2021-05-14,Manufacturing,West,670000.0,36,15.79,0.0,0
MSME-00210,2022-03-15,Manufacturing,North,12620000.0,24,17.86,0.0,0
MSME-00211,2025-08-08,Services,West,19520000.0,12,12.24,861674.12,0
MSME-00212,2022-02-13,Agriculture Tech,North,6690000.0,36,13.28,0.0,0
MSME-00213,2023-12-24,Agriculture Tech,South,2460000.0,12,14.79,0.0,120
MSME-00214,2022-04-06,Trading,West,11450000.0,48,12.19,0.0,0
MSME-00215,2024-12-13,Education,South,18140000.0,48,11.16,11749438.12,0
MSME-00216,2022-05-02,Trading,East,15700000.0,24,13.36,0.0,0
MSME-00217,2024-06-04,Trading,South,12490000.0,24,17.06,0.0,0
MSME-00218,2025-11-19,Education,East,6370000.0,36,11.3,5123405.05,15
MSME-00219,2024-11-29,Agriculture Tech,North,10880000.0,60,14.0,8070918.51,0
MSME-00220,2025-07-05,Personal Loan,North,1920000.0,48,16.34,1528583.61,0
MSME-00221,2023-03-11,Agriculture Tech,South,13610000.0,12,17.67,0.0,0
MSME-00222,2023-05-19,Services,South,14530000.0,60,17.9,6711742.73,0
MSME-00223,2024-01-01,Manufacturing,North,19300000.0,48,13.95,8085579.6,0
MSME-00224,2023-04-26,Trading,South,5280000.0,36,17.65,0.0,0
MSME-00225,2025-04-24,Trading,South,470000.0,48,11.25,344730.81,0
MSME-00226,2025-12-24,Trading,North,10960000.0,24,16.22,8161841.62,15
MSME-00227,2026-04-03,Household Loan,South,14170000.0,12,15.5,10183815.26,0
MSME-00228,2023-08-10,Trading,West,15830000.0,12,12.75,0.0,0
MSME-00229,2026-07-11,Personal Loan,North,3960000.0,24,14.55,3921996.11,0
MSME-00230,2022-08-23,Agriculture Tech,South,5310000.0,60,11.91,1375848.41,0
MSME-00231,2021-07-22,Education,East,10300000.0,24,17.1,0.0,0
MSME-00232,2021-11-04,Services,South,6680000.0,12,13.51,0.0,0
MSME-00233,2021-01-13,Services,East,17220000.0,36,15.38,0.0,15
MSME-00234,2023-05-23,Services,South,9530000.0,60,12.11,4100383.22,15
MSME-00235,2025-07-01,Manufacturing,South,16010000.0,48,12.44,12492691.12,0
MSME-00236,2021-12-04,Education,North,11650000.0,36,17.94,0.0,0
MSME-00237,2021-05-01,Trading,East,15480000.0,60,16.27,0.0,45
MSME-00238,2024-03-28,Manufacturing,East,6720000.0,12,17.73,0.0,0
MSME-00239,2021-01-11,Agriculture Tech,North,16650000.0,12,13.07,0.0,0
MSME-00240,2021-10-09,Manufacturing,South,5560000.0,36,12.15,0.0,0
MSME-00241,2022-12-04,Household Loan,West,10970000.0,60,14.52,3714561.35,0
MSME-00242,2022-03-05,Household Loan,South,4360000.0,48,14.46,0.0,0
MSME-00243,2022-09-10,Household Loan,South,9560000.0,48,12.22,266829.61,15
MSME-00244,2022-01-07,Trading,West,6430000.0,24,16.13,0.0,0
MSME-00245,2023-06-29,Manufacturing,East,5410000.0,36,13.53,0.0,0
MSME-00246,2023-09-11,Household Loan,South,19340000.0,60,12.3,9598750.84,0
MSME-00247,2023-06-12,Trading,West,3290000.0,36,13.32,0.0,0
MSME-00248,2026-06-28,Household Loan,West,15770000.0,48,14.95,15600898.53,0
MSME-00249,2024-04-14,Household Loan,South,19680000.0,60,16.09,12555302.26,0
MSME-00250,2024-03-12,Personal Loan,South,500000.0,12,14.37,0.0,0
MSME-00251,2023-03-14,Trading,South,14010000.0,12,14.68,0.0,0
MSME-00252,2024-04-14,Trading,West,5130000.0,60,11.97,3149381.74,0
MSME-00253,2024-03-08,Personal Loan,East,910000.0,36,17.4,222510.0,0
MSME-00254,2026-05-12,Trading,North,8120000.0,36,17.5,7723992.89,0
MSME-00255,2021-04-14,Manufacturing,West,18710000.0,12,15.78,0.0,0
MSME-00256,2023-05-08,Services,South,330000.0,12,11.12,0.0,0
MSME-00257,2024-05-26,Household Loan,North,11800000.0,48,14.76,6235576.27,0
MSME-00258,2025-09-22,Agriculture Tech,South,10080000.0,60,15.4,8887077.48,0
MSME-00259,2025-12-04,Services,South,17480000.0,36,17.96,14539061.47,15
MSME-00260,2026-02-06,Manufacturing,West,1770000.0,48,17.97,1626994.58,0
MSME-00261,2021-06-07,Agriculture Tech,North,13660000.0,36,17.0,0.0,0
MSME-00262,2022-10-12,Household Loan,West,13630000.0,12,11.45,0.0,0
MSME-00263,2025-04-30,Manufacturing,South,13410000.0,60,17.67,11097040.56,0
MSME-00264,2026-06-16,Services,North,18850000.0,24,15.29,18105496.31,0
MSME-00265,2023-07-22,Personal Loan,West,16480000.0,60,16.61,8119254.98,0
MSME-00266,2024-03-11,Education,South,940000.0,24,13.85,0.0,0
MSME-00267,2024-01-07,Agriculture Tech,South,9470000.0,48,13.24,3977969.82,0
MSME-00268,2025-08-23,Education,South,8020000.0,24,14.24,4624454.59,0
MSME-00269,2025-07-15,Trading,West,6270000.0,24,12.03,3244102.34,0
MSME-00270,2025-02-27,Trading,South,9080000.0,48,13.5,6421587.95,0
MSME-00271,2024-10-10,Personal Loan,North,7750000.0,60,17.0,5678040.81,0
MSME-00272,2024-10-22,Personal Loan,North,8700000.0,48,11.27,5338494.83,0
MSME-00273,2024-11-19,Personal Loan,South,19590000.0,12,12.06,0.0,0
MSME-00274,2024-01-18,Household Loan,West,1860000.0,12,11.88,0.0,0
MSME-00275,2026-07-13,Services,South,18450000.0,24,13.82,18316257.27,0
MSME-00276,2024-02-16,Services,North,9660000.0,48,17.98,4560808.93,0
MSME-00277,2023-01-10,Education,North,12510000.0,48,12.21,1646015.85,0
MSME-00278,2023-09-27,Agriculture Tech,South,16620000.0,48,12.02,5616883.79,0
MSME-00279,2021-09-26,Education,West,7270000.0,60,17.41,256738.27,0
MSME-00280,2021-07-28,Education,South,8670000.0,36,17.17,0.0,0
MSME-00281,2021-12-12,Personal Loan,West,8250000.0,36,11.23,0.0,0
MSME-00282,2021-08-24,Trading,South,7560000.0,36,16.26,0.0,0
MSME-00283,2025-10-28,Trading,North,18520000.0,60,15.59,16614999.14,0
MSME-00284,2021-11-12,Manufacturing,West,16600000.0,48,16.37,0.0,0
MSME-00285,2025-10-19,Services,South,2270000.0,36,14.46,1785098.26,0
MSME-00286,2024-09-04,Manufacturing,East,2250000.0,48,17.94,1379333.59,0
MSME-00287,2025-08-22,Services,West,8610000.0,24,11.31,4891548.09,0
MSME-00288,2025-12-26,Services,North,2060000.0,36,12.64,1726301.14,15
MSME-00289,2024-06-28,Trading,North,12420000.0,24,13.78,0.0,0
MSME-00290,2026-01-19,Services,East,2960000.0,60,14.15,2747431.99,0
MSME-00291,2021-03-21,Manufacturing,South,10500000.0,12,17.45,0.0,0
MSME-00292,2022-12-10,Manufacturing,North,240000.0,60,14.92,82697.72,0
MSME-00293,2025-01-31,Personal Loan,North,6400000.0,60,11.32,4861179.05,45
MSME-00294,2026-01-15,Trading,North,13580000.0,60,13.86,12575177.28,0
MSME-00295,2021-01-15,Manufacturing,West,9730000.0,36,13.92,0.0,0
MSME-00296,2024-11-26,Services,North,19570000.0,24,17.76,3758886.79,0
MSME-00297,2022-03-29,Education,South,17490000.0,36,15.19,0.0,0
MSME-00298,2025-07-24,Trading,East,7250000.0,12,15.45,0.0,0
MSME-00299,2022-06-23,Agriculture Tech,South,1010000.0,60,15.99,237715.02,0
MSME-00300,2025-05-19,Manufacturing,North,16930000.0,48,16.39,13011123.72,0
MSME-00301,2024-06-29,Manufacturing,West,18230000.0,12,15.45,0.0,0
MSME-00302,2025-08-15,Services,North,16430000.0,24,12.66,9230384.38,0
MSME-00303,2023-03-25,Services,West,2650000.0,12,17.12,0.0,0
MSME-00304,2023-07-26,Agriculture Tech,West,19960000.0,36,16.12,0.0,0
MSME-00305,2021-01-07,Education,South,5250000.0,48,16.19,0.0,0
MSME-00306,2025-11-30,Household Loan,South,14510000.0,36,17.98,12023866.08,0
MSME-00307,2026-04-03,Services,South,18170000.0,60,16.62,17457646.29,0
MSME-00308,2023-06-02,Trading,South,4790000.0,60,16.8,2222327.79,0
MSME-00309,2023-12-31,Education,West,18170000.0,12,17.66,0.0,0
MSME-00310,2023-06-21,Trading,West,6260000.0,60,12.06,2799165.83,120
MSME-00311,2025-08-31,Trading,South,19530000.0,60,14.48,16983547.91,0
MSME-00312,2021-12-27,Manufacturing,East,5700000.0,24,15.06,0.0,0
MSME-00313,2021-04-14,Manufacturing,West,19070000.0,24,13.3,0.0,0
MSME-00314,2021-09-15,Household Loan,West,1170000.0,36,16.88,0.0,0
MSME-00315,2021-10-15,Personal Loan,South,14210000.0,36,16.34,0.0,0
MSME-00316,2024-05-13,Agriculture Tech,South,10690000.0,24,16.05,0.0,0
MSME-00317,2025-02-06,Trading,South,9610000.0,12,17.98,0.0,0
MSME-00318,2022-01-27,Manufacturing,West,4550000.0,24,12.82,0.0,15
MSME-00319,2022-07-02,Manufacturing,North,14140000.0,36,16.15,0.0,0
MSME-00320,2022-12-07,Trading,South,3900000.0,48,14.86,419971.76,0
MSME-00321,2025-01-30,Services,South,11100000.0,60,13.19,8522255.33,0
MSME-00322,2023-09-04,Education,South,5140000.0,48,12.12,1648880.52,0
MSME-00323,2026-01-15,Agriculture Tech,South,19120000.0,48,17.27,17332870.17,15
MSME-00324,2022-04-22,Trading,West,670000.0,60,15.17,126268.16,45
MSME-00325,2024-06-26,Household Loan,North,4070000.0,24,16.77,0.0,0
MSME-00326,2023-06-28,Education,South,4920000.0,12,14.82,0.0,0
MSME-00327,2025-11-18,Services,North,8340000.0,48,12.54,7207675.64,0
MSME-00328,2021-01-18,Agriculture Tech,North,4730000.0,12,13.36,0.0,0
MSME-00329,2022-11-15,Trading,South,9880000.0,36,13.67,0.0,120
MSME-00330,2022-01-06,Trading,South,17460000.0,48,17.81,0.0,0
MSME-00331,2022-02-05,Trading,South,14270000.0,36,11.04,0.0,15
MSME-00332,2024-10-24,Education,South,11640000.0,24,17.9,1635802.92,0
MSME-00333,2021-07-15,Manufacturing,North,1870000.0,48,17.86,0.0,0
MSME-00334,2023-10-26,Manufacturing,South,13910000.0,36,17.97,1352412.83,0
MSME-00335,2022-03-12,Manufacturing,West,3410000.0,36,14.34,0.0,0
MSME-00336,2025-07-07,Manufacturing,West,15750000.0,24,17.75,8195497.14,0
MSME-00337,2026-02-22,Personal Loan,South,5080000.0,12,13.77,3089303.08,0
MSME-00338,2023-08-27,Education,South,8400000.0,12,11.18,0.0,0
MSME-00339,2022-04-12,Services,West,7070000.0,48,12.57,0.0,0
MSME-00340,2021-01-29,Manufacturing,North,17190000.0,24,17.62,0.0,15
MSME-00341,2023-12-31,Services,West,2620000.0,48,11.1,1060758.86,0
MSME-00342,2026-05-23,Services,West,11360000.0,12,14.82,9670928.46,0
MSME-00343,2025-11-24,Manufacturing,North,2930000.0,24,11.53,2038742.91,0
MSME-00344,2026-04-13,Trading,North,14130000.0,60,13.0,13578805.62,15
